jour,n_dose1,n_complet
2020-12-27,348,4
2020-12-28,354,1
2020-12-29,250,0
2020-12-30,292,1
2020-12-31,230,0
2021-01-01,265,3
2021-01-02,213,4
2021-01-03,248,1
2021-01-04,1739,9
2021-01-05,5670,23
2021-01-06,11588,52
2021-01-07,29033,94
2021-01-08,36700,128
2021-01-09,11065,40
2021-01-10,5752,12
2021-01-11,39618,134
2021-01-12,61633,212
2021-01-13,64572,283
2021-01-14,81804,800
2021-01-15,68444,410
2021-01-16,20007,137
2021-01-17,10747,72
2021-01-18,85344,439
2021-01-19,129982,541
2021-01-20,136844,563
2021-01-21,157460,598
2021-01-22,120332,541
2021-01-23,38197,123
2021-01-24,9565,47
2021-01-25,77725,1266
2021-01-26,99847,3128
2021-01-27,106773,5396
2021-01-28,123744,13220
2021-01-29,91661,15799
2021-01-30,28922,3574
2021-01-31,5064,1476
2021-02-01,52225,18834
2021-02-02,71589,31242
2021-02-03,71740,33299
2021-02-04,81422,45434
2021-02-05,67729,40743
2021-02-06,22053,8686
2021-02-07,5008,4344
2021-02-08,46331,38274
2021-02-09,65488,62358
2021-02-10,70153,66810
2021-02-11,86549,87517
2021-02-12,78516,65526
2021-02-13,21978,15316
2021-02-14,4802,6063
2021-02-15,37514,57660
2021-02-16,49723,78945
2021-02-17,49855,81921
2021-02-18,68942,96859
2021-02-19,64480,74255
2021-02-20,18256,21546
2021-02-21,3076,5152
2021-02-22,36966,56384
2021-02-23,53163,66770
2021-02-24,59162,64863
2021-02-25,99787,76217
2021-02-26,112681,59882
2021-02-27,51666,18156
2021-02-28,5919,3792
2021-03-01,64568,43983
2021-03-02,100389,56906
2021-03-03,115181,57420
2021-03-04,162439,63566
2021-03-05,199654,60158
2021-03-06,207013,19747
2021-03-07,120704,7664
2021-03-08,106135,46333
2021-03-09,171355,53363
2021-03-10,177478,55152
2021-03-11,241453,64080
2021-03-12,293428,56955
2021-03-13,230304,19165
2021-03-14,62854,5021
2021-03-15,157377,34502
2021-03-16,140561,41082
2021-03-17,149509,40981
2021-03-18,166627,47759
2021-03-19,228819,42454
2021-03-20,165876,15625
2021-03-21,49365,4112
2021-03-22,168830,38030
2021-03-23,248968,48159
2021-03-24,255507,49493
2021-03-25,340421,53565
2021-03-26,357515,51606
2021-03-27,194462,22283
2021-03-28,58883,5549
2021-03-29,201993,59322
2021-03-30,284076,77901
2021-03-31,261683,81252
2021-04-01,313117,99232
2021-04-02,279983,101826
2021-04-03,140181,65940
2021-04-04,45382,20331
2021-04-05,59661,13184
2021-04-06,215562,114698
2021-04-07,258369,124649
2021-04-08,335665,134696
2021-04-09,408214,131749
2021-04-10,211548,90003
2021-04-11,55478,36694
2021-04-12,235552,123034
2021-04-13,307692,155731
2021-04-14,292156,150976
2021-04-15,334460,161575
2021-04-16,337690,158764
2021-04-17,187696,97072
2021-04-18,50995,37558
2021-04-19,204149,146320
2021-04-20,252455,181057
2021-04-21,251304,179591
2021-04-22,285644,201557
2021-04-23,295116,199770
2021-04-24,189309,121136
2021-04-25,68888,42286
2021-04-26,219515,168110
2021-04-27,282794,209050
2021-04-28,297766,206994
2021-04-29,355092,229256
2021-04-30,370256,222113
2021-05-01,165119,63261
2021-05-02,90763,43237
2021-05-03,285907,188968
2021-05-04,312696,249159
2021-05-05,323116,248418
2021-05-06,375995,272252
2021-05-07,370006,296313
2021-05-08,220612,81535
2021-05-09,128870,55126
2021-05-10,308935,253650
2021-05-11,400785,295243
2021-05-12,430326,268438
2021-05-13,335636,78081
2021-05-14,450553,202380
2021-05-15,371598,119896
2021-05-16,201408,34059
2021-05-17,373246,178551
2021-05-18,455946,191950
2021-05-19,464166,182618
2021-05-20,503698,203949
2021-05-21,486319,220399
2021-05-22,345183,107811
2021-05-23,160699,26832
2021-05-24,261345,52903
2021-05-25,397053,225621
2021-05-26,410480,226000
2021-05-27,446721,265236
2021-05-28,426737,316131
2021-05-29,297453,181483
2021-05-30,106125,41990
2021-05-31,355574,240892
2021-06-01,422195,301861
2021-06-02,412354,277281
2021-06-03,458164,311979
2021-06-04,451425,360657
2021-06-05,302209,221392
2021-06-06,131356,60964
2021-06-07,334347,298707
2021-06-08,389723,336965
2021-06-09,380315,319365
2021-06-10,398097,337869
2021-06-11,383627,406508
2021-06-12,281107,242809
2021-06-13,103774,84846
2021-06-14,237912,384178
2021-06-15,304378,423757
2021-06-16,310273,394737
2021-06-17,314180,412381
2021-06-18,318944,485069
2021-06-19,222845,300513
2021-06-20,72287,111460
2021-06-21,193063,427311
2021-06-22,220508,499143
2021-06-23,231094,473448
2021-06-24,239162,446188
2021-06-25,224398,560605
2021-06-26,151742,395109
2021-06-27,55061,165008
2021-06-28,152567,478245
2021-06-29,180665,537244
2021-06-30,201537,515761
2021-07-01,224447,497889
2021-07-02,223640,563106
2021-07-03,139990,395362
2021-07-04,55809,150956
2021-07-05,164456,449766
2021-07-06,193497,511884
2021-07-07,208733,477946
2021-07-08,228274,468310
2021-07-09,226137,556440
2021-07-10,146727,368634
2021-07-11,59235,120993
2021-07-12,166347,513297
2021-07-13,284703,586901
2021-07-14,178645,186832
2021-07-15,343555,572348
2021-07-16,377152,575043
2021-07-17,258133,368663
2021-07-18,108844,133339
2021-07-19,283150,480038
2021-07-20,374154,524873
2021-07-21,393172,482623
2021-07-22,438072,472310
2021-07-23,436225,510243
2021-07-24,284092,322035
2021-07-25,120218,100248
2021-07-26,345536,385868
2021-07-27,461397,401093
2021-07-28,456722,367148
2021-07-29,486786,356955
2021-07-30,458301,380666
2021-07-31,284152,231016
2021-08-01,109342,65540
2021-08-02,330125,284343
2021-08-03,391707,304725
2021-08-04,380177,265509
2021-08-05,361919,281356
2021-08-06,355228,326846
2021-08-07,210825,209770
2021-08-08,72249,73352
2021-08-09,255218,298367
2021-08-10,301897,324632
2021-08-11,275596,302676
2021-08-12,267032,320050
2021-08-13,248312,313676
2021-08-14,142057,219855
2021-08-15,37098,55405
2021-08-16,180963,346299
2021-08-17,211772,369860
2021-08-18,195503,354757
2021-08-19,188588,355900
2021-08-20,181203,395341
2021-08-21,102825,254145
2021-08-22,31196,92054
2021-08-23,137557,379540
2021-08-24,159380,403147
2021-08-25,147667,375668
2021-08-26,139285,367735
2021-08-27,144262,414771
2021-08-28,88486,265073
2021-08-29,26487,88179
2021-08-30,113885,347390
2021-08-31,125523,364622
2021-09-01,114546,324172
2021-09-02,100106,289163
2021-09-03,111002,340007
2021-09-04,85762,243147
2021-09-05,20285,52613
2021-09-06,67432,223309
2021-09-07,72151,224816
2021-09-08,82603,247015
2021-09-09,69587,207264
2021-09-10,87414,251104
2021-09-11,63242,190678
2021-09-12,11995,36825
2021-09-13,56202,173377
2021-09-14,67261,189389
2021-09-15,68997,227834
